apt_id,phone,email,source_url,checked_at,notes
65031341010039900,,,https://cccres.com/apartments/detail/university-village-fka-waterview-park-apts-richardson,2026-09-10,no-contact-found
42146400000010000,,,https://trellis.law/doc/119883023/original-petition,2026-09-10,no-contact-found
422610000B0030000,(469) 772-8909,,https://www.camdenliving.com/apartments/richardson-tx/camden-buckingham,2026-09-10,
422130100304C0000,(469) 224-5142,,https://www.liveatgreenvue.com/,2026-09-10,
420147400001A0000,,,,,no-website
420687500A02A0000,(940) 458-8517,,https://www.entrytech.net/current-projects/,2026-09-10,
420746700C0010000,(833) 636-2490,,https://junctionatgalatynpark.com/,2026-09-10,
422319200B01A0000,(469) 224-5142,,https://www.liveatgreenvue.com/,2026-09-10,
420746700A08A0000,(972) 382-5568,,https://www.cueluxury.com/,2026-09-10,
420687500A0050000,(945) 941-3012,,https://www.maac.com/texas/dallas/maa-eastside/,2026-09-10,
420174000B07A0000,(945) 215-4722,,https://www.harborgroupmanagement.com/apartments/tx/richardson/arboretum-estates,2026-09-10,
420175100B0010000,,,https://www.apartmentadvisor.com/details/540-buckingham-rd-richardson-tx-75081,2026-09-10,no-contact-found
422209300B0020000,(855) 815-2084,,https://www.530buckingham.com/,2026-09-10,
420746700A0050000,(877) 859-9937,,https://galatynstationrichardson.com/,2026-09-10,
420687500A01B0000,(972) 975-9989,eastsiderichardson@willowbridgepc.com,https://www.livemalloryeastsiderichardson.com/,2026-09-10,
421046500M01B0000,,,https://cccres.com/apartments/detail/brick-row-apts-bldg-b-the-station-richardson,2026-09-10,no-contact-found
42075080000000000,(855) 490-0180,support@agingchoices.com,https://www.agingchoices.com/provider/encore-at-buckingham-richardson-tx/a1d5a7ba-efe1-4c51-b45a-9a23facdc159,2026-09-10,
65034559010010000,,,https://housing.utdallas.edu/housing-options/university-village/,2026-09-10,no-contact-found
42138500010010000,(972) 238-9188,,https://www.fallsonclearwoodapts.com/,2026-09-10,
42232500000030000,(945) 800-4686,,https://www.windhamchase.com/,2026-09-10,
421046500S01B0000,(469) 654-3836,,https://www.simpsonpropertygroup.com/apartments/richardson-texas/brick-row-apartments-downtown-plano,2026-09-10,
42086400000010000,(972) 635-0952,oakline@awmmanagement.com,https://www.oaklineapts.com/,2026-09-10,
42099310010010000,(972) 846-8379,,https://www.madisononmelrose.com/,2026-09-10,
42002600010010000,(945) 203-5392,,https://livebh.com/apartments/cutters-point-apartment-homes/,2026-09-10,
42124900000010000,(972) 433-9322,,https://www.liveprestonwood.com/,2026-09-10,
42232500000010000,(972) 640-6034,,https://www.shenandoahatspringvalley.com/,2026-09-10,
42269700000010000,(972) 231-3969,mymail@mailservice.com,https://www.ourcommunityrealty.com/listings/detail/24df28bc-ab99-4a46-ba2b-5ee6e69db654,2026-09-10,
422446000A01A0000,(945) 212-3276,,https://twinriversseniorliving.com/,2026-09-10,
42043700000010000,,,,,no-website
420716000101B0000,(682) 710-0633,,https://www.trelliscanyoncreek.com/,2026-09-10,
42256600020060000,(972) 235-8346,,https://www.student.com/us/tx/richardson/p/university-village-apartments-ljav6s,2026-09-10,
42118500010220000,(972) 231-5311,,https://www.mycamelotapts.com/,2026-09-10,
65034559010020000,,,https://cccres.com/apartments/detail/utd-phase-7-housing-apartment-style-richardson,2026-09-10,no-contact-found
42241300000010000,(855) 900-9653,,https://apartmentwolf.com/property/lakefront-villas/,2026-09-10,
42213500010010000,(844) 420-1270,,https://www.movoto.com/richardson-tx/800-custer-rd-apt-256-richardson-tx-75080-4002_776x6d3gdkab/for-rent/,2026-09-10,
42213500020010000,,,https://cccres.com/apartments/detail/bell-grove-at-custer-richardson,2026-09-10,no-contact-found
420687500A0040000,,,,,no-website
42432150000010000,,,,,no-website
421046500O01C0000,,,https://cccres.com/apartments/detail/brick-row-the-point-richardson,2026-09-10,no-contact-found
42149500020010000,,,,,no-website
42149500010020000,,,,,no-website
42234500000090000,,,,,no-website
42233500010010000,(972) 843-7140,,https://www.livehillsdalegarden.com/,2026-09-10,
42149500020040000,,,,,no-website
42233500020010000,(866) 726-2535,,https://www.brazosoaksspringvalley.com/,2026-09-10,
421046500N01B0000,,,https://cccres.com/apartments/detail/brick-row-apts-bldg-c-the-springs-richardson,2026-09-10,no-contact-found
42430550000350000,(972) 428-3024,northsideleasing@bbcgrp.com,https://www.liveatnorthside.com/,2026-09-10,
42430900000050000,,profiles@birdeye.com,https://reviews.birdeye.com/briarwood-apartments-166264080127384,2026-09-10,
421446100A0020000,(972) 254-1534,,https://www.parkwoodapts.net/,2026-09-10,
42149500010040000,(314) 314-9634,info@sandpiperhomes.ai,https://sandpiperhomes.ai/listing/95f6df8e-9917-4172-b7c6-21d38524d848,2026-09-10,
42148500010310000,(972) 238-0646,,https://local.yahoo.com/info-28647083-eastgate-apartments-of-richardson-richardson/,2026-09-10,
42202500020010000,,,https://cccres.com/apartments/detail/lasalle-terrace-apts-richardson,2026-09-10,no-contact-found
