apt_id,phone,email,source_url,checked_at,notes
2615335,,,,2026-09-10,no-contact-found
2096027,(972) 848-6820,,https://cortland.com/apartments/cortland-west-plano/,2026-09-10,
2047952,,,,,no-website
2544026,(430) 243-4542,,https://www.udr.com/dallas-apartments/plano/legacy-village-apartment-homes/,2026-09-10,
2750390,(469) 564-5726,,https://www.thegrandatlegacywest.com/the-grand-at-legacy-west-plano,2026-09-10,
2143049,(469) 747-1748,,https://cortland.com/apartments/cortland-north-plano/,2026-09-10,
2929400,,,,,no-website
2652395,(972) 702-7995,,https://www.rentanapt.com/apartments/tx/plano/estancia-at-ridgeview-ranch/,2026-09-10,
2111968,(940) 464-5528,,https://www.maac.com/texas/dallas/maa-los-rios/,2026-09-10,
1503260,(972) 596-2732,,https://livecreeksidevillage.com/,2026-09-10,
2095999,,,https://american-landmark-23hundred-old.multiscreensite.com/neighborhood,2026-09-10,no-contact-found
357054,(833) 280-5481,,https://www.belairoaks.com/,2026-09-10,
2557400,(972) 378-6500,,https://windhavenparkapthome.com/,2026-09-10,
2544628,(877) 764-2216,rentcafe@saxonyatchaseoaks.com,https://www.saxonyatchaseoaks.com/,2026-09-10,
1986344,,,,,no-website
1988024,(469) 727-8910,,https://www.evokeapartmentsplano.com/,2026-09-10,
2571959,(940) 464-5476,,https://www.maac.com/texas/dallas/maa-market-center/,2026-09-10,
2107994,(855) 644-2010,,https://www.missiongateapts.com/,2026-09-10,
1708003,,,https://liveatthewestside.com/,2026-09-10,no-contact-found
2006652,(469) 240-5617,,https://www.rentanapt.com/apartments/tx/plano/villas-of-preston-creek/,2026-09-10,
2646098,,,,,no-website
2785825,(469) 784-9727,,https://www.windsorcommunities.com/properties/windsor-metro-west/,2026-09-10,
2614633,(945) 351-0963,,https://www.dorianandencoreluxuryliving.com/,2026-09-10,
2581386,(844) 230-8394,,https://villasofspringcreek.com/,2026-09-10,
1627494,(972) 895-8149,,https://www.livethedayton.com/,2026-09-10,
